Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675378059.3183832,16,224739,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224739.0,19,T
1675378060.3179703,17,224740,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224740.0,19,T
1675378061.3182275,18,224741,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224741.0,19,T
1675378062.3201663,19,224742,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224742.0,19,T
1675378063.3191261,20,224743,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224743.0,19,T
1675378064.3183854,21,224744,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224744.0,19,T
1675378065.3190756,22,224745,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.2 M,1.2000000476837158,326283.21875,4686070.0,224745.0,19,T
1675378066.316332,23,224746,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.1 M,1.2000000476837158,326283.21875,4686070.0,224746.0,19,T
1675378067.3193872,24,224747,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.1 M,1.2000000476837158,326283.21875,4686070.0,224747.0,19,T
1675378068.319044,25,224748,0,GPS1_Frame,42.30750274658203,-71.10771179199219,19.1 M,1.2000000476837158,326283.21875,4686070.0,224748.0,19,T
1675378069.318562,26,224749,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224749.0,19,T
1675378070.3190513,27,224750,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224750.0,19,T
1675378071.3187587,28,224751,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224751.0,19,T
1675378072.3184402,29,224752,0,GPS1_Frame,42.3075065612793,-71.10771179199219,19.1 M,1.2000000476837158,326283.25,4686070.5,224752.0,19,T
