,x,y,z
0,0.000276,-0.000666,0.000276
1,0.002981,-0.00032,0.002981
2,-0.002424,0.001153,-0.002424
3,0.000199,0.00037,0.000199
4,0.000841,-0.000433,0.000841
5,-0.00141,-0.00087,-0.00141
6,0.00222,0.000623,0.00222
7,-0.000241,0.000253,-0.000241
8,0.000111,-0.000455,0.000111
9,0.001042,0.000269,0.001042
10,-0.000441,0.00061,-0.000441
11,-0.000431,-0.000496,-0.000431
12,0.000412,4.1e-05,0.000412
13,-0.000663,0.000565,-0.000663
14,-0.000241,0.000104,-0.000241
15,0.001363,-0.000195,0.001363
16,-0.002008,-0.001282,-0.002008
17,2.8e-05,0.000482,2.8e-05
18,0.000451,-0.000623,0.000451
19,-0.001673,-0.000784,-0.001673
20,0.000984,0.000311,0.000984
21,0.000336,-0.000375,0.000336
22,0.00083,-0.000381,0.00083
23,-0.000699,-0.00059,-0.000699
24,0.00022,-0.000405,0.00022
25,-0.001206,0.00047,-0.001206
26,0.000753,-0.000657,0.000753
27,-0.000269,-0.001394,-0.000269
28,5.9e-05,-0.000504,5.9e-05
29,-0.000269,0.000813,-0.000269
30,-0.000459,0.000251,-0.000459
31,0.001518,0.000108,0.001518
32,-0.000812,0.000151,-0.000812
33,0.000548,6.1e-05,0.000548
34,0.000523,-0.000508,0.000523
35,-0.000323,-0.000111,-0.000323
36,0.000716,0.000539,0.000716
37,0.00105,-0.000495,0.00105
38,-0.000692,-0.000563,-0.000692
39,6.8e-05,-0.000136,6.8e-05
40,0.001019,-0.000874,0.001019
41,-0.000577,0.001318,-0.000577
42,0.000151,0.00094,0.000151
43,0.000469,-0.000211,0.000469
44,-0.000639,-0.000867,-0.000639
45,-0.000865,0.000672,-0.000865
46,-1.7e-05,-0.000218,-1.7e-05
47,0.000228,0.000355,0.000228
48,0.000938,-0.000242,0.000938
49,-0.000753,-0.000806,-0.000753
50,0.001052,-9.2e-05,0.001052
51,-6.1e-05,-0.000653,-6.1e-05
52,0.000564,0.000818,0.000564
53,-0.000714,0.000512,-0.000714
54,-0.000574,-0.000106,-0.000574
55,0.000374,-0.00028,0.000374
56,0.000759,-7.2e-05,0.000759
57,-0.001461,-0.0006,-0.001461
58,0.002001,-0.000634,0.002001
59,-0.000643,0.000299,-0.000643
60,-0.001133,0.000248,-0.001133
61,0.001049,-0.000175,0.001049
62,-0.001228,0.00126,-0.001228
63,-0.000912,-0.000616,-0.000912
64,0.002218,0.000128,0.002218
65,-0.003275,-0.001149,-0.003275
66,0.000366,0.001016,0.000366
67,0.00148,0.000799,0.00148
68,-0.002069,-0.000561,-0.002069
69,0.001163,-8.5e-05,0.001163
70,0.000964,-0.000331,0.000964
71,-0.001392,-0.000854,-0.001392
72,0.001204,-0.000221,0.001204
73,7.1e-05,0.000735,7.1e-05
74,-0.001304,-0.001276,-0.001304
75,-0.000399,-0.001133,-0.000399
76,0.000464,-0.001243,0.000464
77,-0.002245,0.000312,-0.002245
78,0.00061,-0.000227,0.00061
79,0.001524,0.000654,0.001524
80,-0.003059,-0.000992,-0.003059
81,0.000736,-0.000549,0.000736
82,-4.8e-05,-0.000496,-4.8e-05
83,5.6e-05,0.000398,5.6e-05
84,0.001779,-0.00044,0.001779
85,0.000148,-0.000275,0.000148
86,-0.000159,-0.001087,-0.000159
87,-0.000289,-0.000747,-0.000289
88,0.000521,-0.000744,0.000521
89,0.00082,-2.2e-05,0.00082
90,-0.000807,-0.000459,-0.000807
91,0.002058,0.000231,0.002058
92,-0.000995,0.000444,-0.000995
93,0.000488,-0.001169,0.000488
94,0.001785,0.000763,0.001785
95,-0.00194,-0.000538,-0.00194
96,0.000998,-0.000814,0.000998
97,-0.000849,0.000631,-0.000849
98,-0.002712,8.5e-05,-0.002712
99,0.001117,2.2e-05,0.001117
100,-0.000259,-0.000244,-0.000259
101,0.00045,-0.001108,0.00045
102,0.000356,0.001437,0.000356
103,0.00127,0.001178,0.00127
104,-0.000732,-0.000544,-0.000732
105,0.000382,3e-06,0.000382
106,0.000939,-0.000106,0.000939
107,-0.002068,-0.00069,-0.002068
108,0.001843,0.001261,0.001843
109,-0.000162,-0.000379,-0.000162
110,-0.002039,0.00017,-0.002039
111,0.000849,-9.1e-05,0.000849
112,0.000253,-0.000798,0.000253
113,-0.00014,-0.00026,-0.00014
114,0.000373,0.000856,0.000373
115,-0.001043,-0.000211,-0.001043
116,-0.001362,0.001171,-0.001362
117,0.000438,-0.00072,0.000438
118,0.000332,6.7e-05,0.000332
119,-0.000131,7.3e-05,-0.000131
120,0.001422,3.6e-05,0.001422
121,-0.000923,-0.000271,-0.000923
122,0.001003,-0.000221,0.001003
123,0.000761,-0.000421,0.000761
124,-0.000145,-0.000506,-0.000145
125,0.00041,-0.001089,0.00041
126,-0.001256,-0.000307,-0.001256
127,4.5e-05,0.000802,4.5e-05
128,0.000176,-0.000698,0.000176
129,0.000235,-0.000796,0.000235
130,0.001522,-7e-05,0.001522
131,-0.000876,-0.00049,-0.000876
132,0.001593,0.000191,0.001593
133,0.002098,0.000435,0.002098
134,-0.001459,-0.000828,-0.001459
135,0.001429,0.000391,0.001429
136,0.000508,-0.000579,0.000508
137,-0.001439,-1.5e-05,-0.001439
138,0.00145,0.000687,0.00145
139,-0.000899,-0.000399,-0.000899
140,-0.000884,0.001138,-0.000884
141,0.002031,0.000241,0.002031
142,-0.00133,0.000436,-0.00133
143,-0.000413,-0.00042,-0.000413
144,0.00082,-0.000346,0.00082
145,-0.000768,0.000662,-0.000768
146,-0.001486,-0.000791,-0.001486
147,-1.6e-05,0.000432,-1.6e-05
148,0.000313,-0.000325,0.000313
